,Date,Dividends,Adj Close,Total Return Delta,Extremes
108,1999-11-09,0.075901,14.753645,5.84978962513253,Non-Extreme
109,2000-02-16,0.085389,14.262833,-2.7479514384411496,Non-Extreme
110,2000-05-09,0.085389,18.895504,33.07940294890922,Positive Extreme
111,2000-08-16,0.085389,18.432173,-2.00016892907435,Non-Extreme
112,2000-11-15,0.085389,18.311546,-0.19117659106172485,Non-Extreme
113,2001-02-14,0.104364,19.267536,5.790630676404932,Non-Extreme
114,2001-05-16,0.104364,19.069122,-0.4881267641072491,Non-Extreme
115,2001-08-15,0.104364,17.659103,-6.846959183542892,Non-Extreme
116,2001-11-14,0.104364,18.207506,3.6964901331624667,Non-Extreme
117,2002-02-13,0.12334,17.70919,-2.0594583354798854,Non-Extreme
118,2002-05-15,0.12334,15.781546,-10.188517938990989,Non-Extreme
119,2002-08-14,0.12334,14.37421,-8.136059673748061,Non-Extreme
120,2002-11-13,0.12334,14.212113,-0.26962873090067974,Non-Extreme
121,2003-01-15,0.142315,13.339318,-5.1398409230210875,Non-Extreme
122,2003-05-14,0.142315,14.614245,10.624546172450493,Non-Extreme
123,2003-08-13,0.142315,13.951829,-3.5588632871557877,Non-Extreme
124,2003-11-12,0.142315,14.391047,4.168148849874811,Non-Extreme
125,2004-02-11,0.16129,17.021086,19.39628853967332,Non-Extreme
126,2004-05-12,0.16129,16.00823,-5.003006271162711,Non-Extreme
127,2004-08-11,0.16129,14.319323,-9.542697724857781,Non-Extreme
128,2004-11-09,0.16129,12.691547,-10.241308195925194,Non-Extreme
129,2005-02-09,0.180266,11.443559,-8.412859362219592,Non-Extreme
130,2005-05-11,0.180266,12.718678,12.717940284137125,Non-Extreme
131,2005-08-10,0.180266,12.22609,-2.455616849487044,Non-Extreme
132,2005-11-08,0.180266,10.237926,-14.78721324642629,Non-Extreme
133,2006-02-08,0.227704,12.440532,23.738304027593077,Non-Extreme
134,2006-05-10,0.227704,11.925272,-2.311444558801829,Non-Extreme
135,2006-08-09,0.227704,12.569223,7.309309171312811,Non-Extreme
136,2006-11-08,0.227704,12.908659,4.512132531979106,Non-Extreme
137,2007-02-07,0.275142,13.000687,2.844369814091454,Non-Extreme
138,2007-05-09,0.275142,13.45712,5.627202623984419,Non-Extreme
139,2007-08-08,0.275142,12.340632,-6.252050958897593,Non-Extreme
140,2007-11-07,0.275142,11.83721,-1.8498242229409163,Non-Extreme
141,2008-02-06,0.303605,11.628736,0.8036606599021097,Non-Extreme
142,2008-05-07,0.303605,10.417545,-7.804683157309618,Non-Extreme
143,2008-08-06,0.303605,10.328989,2.0642963385327224,Non-Extreme
144,2008-11-05,0.303605,9.197058,-8.019429587929666,Non-Extreme
145,2009-02-04,0.303605,8.051934,-9.149871621990442,Non-Extreme
146,2009-05-06,0.151803,7.774302,-1.5627177271944797,Non-Extreme
147,2009-08-05,0.151803,8.958948,17.190597946928214,Non-Extreme
148,2009-11-04,0.151803,9.648741,9.393915446322483,Non-Extreme
149,2010-02-03,0.170778,10.71212,12.790860486357769,Non-Extreme
150,2010-05-05,0.170778,9.987846,-5.167007091033342,Non-Extreme
151,2010-08-04,0.170778,9.664097,-1.5315714719670197,Non-Extreme
152,2010-11-04,0.170778,10.322295,8.577894033969246,Non-Extreme
153,2011-02-02,0.189753,11.379092,12.076287298512579,Non-Extreme
154,2011-05-11,0.189753,12.489104,11.422396444285704,Non-Extreme
155,2011-08-03,0.189753,11.047496,-10.023577351906104,Non-Extreme
156,2011-11-08,0.189753,12.427433,14.208559116020494,Non-Extreme
157,2012-02-01,0.208729,13.325667,8.90741474928892,Non-Extreme
158,2012-05-09,0.208729,14.177659,7.959984291968282,Non-Extreme
159,2012-08-01,0.208729,15.258261,9.094103617529516,Non-Extreme
160,2012-11-07,0.208729,15.543236,3.235650510893745,Non-Extreme
161,2013-01-30,0.227704,17.845743,16.278534276903457,Non-Extreme
162,2013-05-08,0.227704,18.792521,6.58130064968436,Non-Extreme
163,2013-07-31,0.227704,19.275497,3.781717205477647,Non-Extreme
164,2013-11-06,0.227704,20.581039,7.9543785563609495,Non-Extreme
165,2014-02-05,0.246679,20.538225,0.9905476589398641,Non-Extreme
166,2014-05-07,0.246679,19.619308,-3.2731066097484085,Non-Extreme
167,2014-07-30,0.246679,19.956093,2.973927520787172,Non-Extreme
168,2014-11-05,0.246679,20.665512,4.791007939279501,Non-Extreme
169,2015-02-04,0.265655,22.256641,8.984940707009812,Non-Extreme
170,2015-05-06,0.265655,23.413448,6.391180052731225,Non-Extreme
171,2015-08-05,0.265655,25.260717,9.02440341123614,Non-Extreme
172,2015-11-04,0.265655,24.270287,-2.8691782580834944,Non-Extreme
173,2016-02-03,0.28463,21.304594,-11.046688487861713,Non-Extreme
174,2016-05-11,0.28463,24.023829,14.09961156734551,Non-Extreme
175,2016-08-03,0.28463,25.779497,8.492809368564853,Non-Extreme
176,2016-11-08,0.28463,22.133701,-13.038136469458658,Non-Extreme
177,2017-02-01,0.303605,23.603855,8.013838264102338,Non-Extreme
178,2017-05-10,0.303605,24.855755,6.590046414028556,Non-Extreme
179,2017-08-02,0.303605,25.014961,1.8619872942906064,Non-Extreme
180,2017-11-09,0.303605,26.991879,9.116636240208418,Non-Extreme
181,2018-02-01,0.322581,28.503424,6.7951030752619985,Non-Extreme
182,2018-05-10,0.322581,27.382835,-2.799691714230541,Non-Extreme
183,2018-08-02,0.322581,31.24926,15.297926602559592,Non-Extreme
184,2018-11-08,0.322581,34.826088,12.47840428861355,Non-Extreme
185,2019-01-31,0.341556,34.00864,-1.3664813573089283,Non-Extreme
186,2019-05-09,0.341556,32.847343,-2.4103904184348464,Non-Extreme
187,2019-08-01,0.341556,31.204845,-3.9605699614729954,Non-Extreme
188,2019-11-07,0.341556,30.402666,-1.4761265438107392,Non-Extreme
189,2020-01-30,0.360531,30.846365,2.6452614385856834,Non-Extreme
190,2020-05-07,0.360531,31.061337,1.8657076773876105,Non-Extreme
191,2020-07-30,0.360531,32.875462,7.0011667559577315,Non-Extreme
192,2020-11-05,0.360531,31.198795,-4.003399252609733,Non-Extreme
193,2021-01-28,0.39,32.757114,6.244853366932926,Non-Extreme
194,2021-05-06,0.39,36.151722,11.55354528485018,Non-Extreme
195,2021-07-29,0.39,39.830139,11.253729490396069,Non-Extreme
196,2021-11-04,0.39,41.175102,4.355904959307323,Non-Extreme
197,2022-01-27,0.4,50.495396,23.607212922022622,Non-Extreme
198,2022-05-12,0.4,48.064701,-4.021544855297305,Non-Extreme
199,2022-07-28,0.4,48.754871,2.2681302022455117,Non-Extreme
200,2022-11-03,0.4,45.149338,-6.574795367625939,Non-Extreme
201,2023-01-26,0.41,43.293957,-3.201333760419709,Non-Extreme
202,2023-05-11,0.41,37.165928,-13.20745294776359,Non-Extreme
203,2023-07-27,0.41,36.200001,-1.4957974411401862,Non-Extreme
