Date,Date,spread_10_2,spread_10_3,Adj Close
2014-12-05,2014-12-05,1.6600000000000001,2.29,15.589434
2014-12-08,2014-12-08,1.6199999999999997,2.23,15.453936
2014-12-09,2014-12-09,1.58,2.18,15.210032
2014-12-10,2014-12-10,1.5900000000000003,2.1500000000000004,14.627371
2014-12-11,2014-12-11,1.5699999999999998,2.16,14.674802
2014-12-12,2014-12-12,1.54,2.08,14.275068
2014-12-15,2014-12-15,1.52,2.08,14.28185
2014-12-16,2014-12-16,1.4899999999999998,2.04,14.308953
2014-12-17,2014-12-17,1.52,2.1100000000000003,14.715454
2014-12-18,2014-12-18,1.5500000000000003,2.18,14.898384
2014-12-19,2014-12-19,1.5,2.13,15.040657
2014-12-22,2014-12-22,1.46,2.12,15.00001
2014-12-23,2014-12-23,1.5299999999999998,2.23,15.182934
2014-12-24,2014-12-24,1.54,2.2600000000000002,15.196484
2014-12-29,2014-12-29,1.5000000000000002,2.1900000000000004,15.189707
2014-12-30,2014-12-30,1.5100000000000002,2.1700000000000004,15.094856
2014-12-31,2014-12-31,1.5,2.13,15.027106
2015-01-02,2015-01-02,1.46,2.1,15.067757
2015-01-05,2015-01-05,1.3599999999999999,2.0100000000000002,14.668026
2015-01-06,2015-01-06,1.3199999999999998,1.94,14.329272
2015-01-07,2015-01-07,1.3399999999999999,1.93,14.403797
2015-01-08,2015-01-08,1.4099999999999997,1.9999999999999998,14.688353
2015-01-09,2015-01-09,1.3900000000000001,1.96,14.444448
2015-01-12,2015-01-12,1.3599999999999999,1.89,14.451224
2015-01-13,2015-01-13,1.3699999999999999,1.88,14.349597
2015-01-14,2015-01-14,1.35,1.82,13.848243
2015-01-15,2015-01-15,1.33,1.74,13.475615
2015-01-16,2015-01-16,1.34,1.8,13.705969
2015-01-20,2015-01-20,1.29,1.79,13.502715
2015-01-21,2015-01-21,1.34,1.84,13.712742
2015-01-22,2015-01-22,1.3699999999999999,1.8699999999999999,13.949873
2015-01-23,2015-01-23,1.29,1.79,14.159897
2015-01-26,2015-01-26,1.29,1.8,14.200547
2015-01-27,2015-01-27,1.29,1.81,13.848243
2015-01-28,2015-01-28,1.23,1.71,13.753386
2015-01-29,2015-01-29,1.26,1.74,13.936316
2015-01-30,2015-01-30,1.21,1.66,13.807594
2015-02-02,2015-02-02,1.19,1.66,13.902442
2015-02-03,2015-02-03,1.27,1.77,14.302178
2015-02-04,2015-02-04,1.29,1.8,14.498649
2015-02-05,2015-02-05,1.31,1.81,14.471551
2015-02-06,2015-02-06,1.2999999999999998,1.93,14.749322
2015-02-09,2015-02-09,1.31,1.95,14.830625
2015-02-10,2015-02-10,1.3399999999999999,1.9999999999999998,14.715454
2015-02-11,2015-02-11,1.33,1.99,14.796754
2015-02-12,2015-02-12,1.38,1.97,14.451224
2015-02-13,2015-02-13,1.3599999999999999,2.0100000000000002,14.607052
2015-02-17,2015-02-17,1.4400000000000002,2.12,14.871282
2015-02-18,2015-02-18,1.4499999999999997,2.05,14.966131
2015-02-19,2015-02-19,1.44,2.09,15.00001
2015-02-20,2015-02-20,1.46,2.11,15.033882
2015-02-23,2015-02-23,1.42,2.04,14.825788
2015-02-24,2015-02-24,1.3900000000000001,1.97,15.016826
2015-02-25,2015-02-25,1.35,1.94,14.853073
2015-02-26,2015-02-26,1.3699999999999997,1.9999999999999998,14.8599
2015-02-27,2015-02-27,1.37,1.98,14.853073
2015-03-02,2015-03-02,1.42,2.06,14.914482
2015-03-03,2015-03-03,1.44,2.1,14.614281
2015-03-04,2015-03-04,1.46,2.1100000000000003,14.573348
2015-03-05,2015-03-05,1.46,2.09,14.511944
2015-03-06,2015-03-06,1.5100000000000002,2.2300000000000004,14.825788
2015-03-09,2015-03-09,1.5000000000000002,2.18,14.70298
2015-03-10,2015-03-10,1.4400000000000002,2.12,14.53241
2015-03-11,2015-03-11,1.41,2.08,14.518763
2015-03-12,2015-03-12,1.4300000000000002,2.0700000000000003,14.75756
