Date,Date,spread_10_3,Adj Close
2020-03-19,2020-03-19,1.08,57.093956
2020-03-20,2020-03-20,0.87,54.593697
2020-03-23,2020-03-23,0.74,51.83353
2020-03-24,2020-03-24,0.83,55.982731
2020-03-25,2020-03-25,0.88,59.05632
2020-03-26,2020-03-26,0.83,63.435555
2020-03-27,2020-03-27,0.69,63.51701
2020-03-30,2020-03-30,0.58,64.783699
2020-03-31,2020-03-31,0.59,62.946976
2020-04-01,2020-04-01,0.53,58.793938
2020-04-02,2020-04-02,0.54,59.047283
2020-04-03,2020-04-03,0.52,58.12439
2020-04-06,2020-04-06,0.52,62.485535
2020-04-07,2020-04-07,0.61,63.09174
2020-04-08,2020-04-08,0.55,67.606697
2020-04-09,2020-04-09,0.48,71.370651
2020-04-13,2020-04-13,0.5,68.466263
2020-04-14,2020-04-14,0.56,70.275864
2020-04-15,2020-04-15,0.49,67.615753
2020-04-16,2020-04-16,0.47,66.855698
2020-04-17,2020-04-17,0.53,68.846275
2020-04-20,2020-04-20,0.51,66.349022
2020-04-21,2020-04-21,0.47,65.136581
2020-04-22,2020-04-22,0.51,66.177101
2020-04-23,2020-04-23,0.5,65.5709
2020-04-24,2020-04-24,0.48,65.842316
2020-04-27,2020-04-27,0.55,67.923386
2020-04-28,2020-04-28,0.51,68.538643
2020-04-29,2020-04-29,0.53,69.588211
2020-04-30,2020-04-30,0.55,68.810089
2020-05-01,2020-05-01,0.52,66.4757
2020-05-04,2020-05-04,0.51,66.276642
2020-05-05,2020-05-05,0.53,66.593323
2020-05-06,2020-05-06,0.6,65.489456
2020-05-07,2020-05-07,0.52,66.358086
2020-05-08,2020-05-08,0.57,67.94146
2020-05-11,2020-05-11,0.61,66.982391
2020-05-12,2020-05-12,0.5599999999999999,63.906063
2020-05-13,2020-05-13,0.51,62.395031
2020-05-14,2020-05-14,0.51,62.684582
2020-05-15,2020-05-15,0.52,62.395031
2020-05-18,2020-05-18,0.6,66.032356
2020-05-19,2020-05-19,0.57,65.290405
2020-05-20,2020-05-20,0.56,65.923759
2020-05-21,2020-05-21,0.56,65.833298
2020-05-22,2020-05-22,0.54,66.72905
2020-05-26,2020-05-26,0.5499999999999999,69.162956
2020-05-27,2020-05-27,0.53,70.493011
2020-05-28,2020-05-28,0.5499999999999999,70.78257
2020-05-29,2020-05-29,0.51,70.04966
2020-06-01,2020-06-01,0.52,71.669243
2020-06-02,2020-06-02,0.53,72.311646
2020-06-03,2020-06-03,0.61,74.483177
2020-06-04,2020-06-04,0.6699999999999999,73.849838
2020-06-05,2020-06-05,0.76,76.537064
2020-06-08,2020-06-08,0.71,78.554779
