,date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods,deriv_spline
13237,2018-11-26,39.67,41.62,39.4,41.6,1306100,0.0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13238,2018-11-26,73.76,77.14,73.28,77.02,1647300,0.0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13239,2018-11-26,49.95,52.08,49.87,52.03,88500,0.0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13240,2018-11-26,78.88,81.27,77.3,81.27,26945500,0.0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13241,2018-11-26,80.14,85.02,79.71,85.02,52945500,0.0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13242,2018-11-26,102.32,107.12,101.54,107.12,7667900,0.0,0,IBB,iShares Biotechnology ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13243,2018-11-26,33.31,35.15,33.08,35.11,3997800,0.0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13244,2018-11-27,,,,,,,,,,,0.0,0.64,0.4604202783423855,0.0,,-0.0011102362340361456
13245,2018-11-28,,,,,,,,,,,0.0,0.66,0.4593134108953456,0.0,,-0.0011032488289004156
13246,2018-11-29,,,,,,,,,,,0.0,0.65,0.4582135398391922,0.0,,-0.0010962450141340715
13247,2018-11-30,,,,,,,,,,,0.0,0.63,0.4571206815853856,0.0,,-0.0010892247897371023
13248,2018-12-03,109.13,109.57,101.13,101.76,8905200,0.0,0,IBB,iShares Biotechnology ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13249,2018-12-03,35.58,35.58,33.01,33.21,4014000,0.0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13250,2018-12-03,42.46,42.46,39.41,39.64,2532700,0.0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13251,2018-12-03,78.06,78.31,72.09,72.49,1034000,0.0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13252,2018-12-03,19.13,19.13,17.87,17.95,2058000,0.0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13253,2018-12-03,161.36,161.64,151.49,152.28,1457500,0.0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13254,2018-12-03,56.71,56.72,53.59,53.89,647000,0.0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13255,2018-12-03,37.06,37.06,34.73,34.88,4232500,0.0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
13256,2018-12-03,84.3,84.93,77.33,77.83,28035100,0.0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0.0,0.6,0.45603485254538934,0.0,,-0.0010821881557095132
