date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods
2016-04-18,28.9,29.77,28.87,29.71,947400,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,56.79,58.04,56.74,57.98,1156300,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,38.67,39.73,38.67,39.68,78500,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,43.24,44.37,43.24,44.27,317400,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,25.67,26.46,25.67,26.42,4834500,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,91.03,94.24,90.34,93.8,29455800,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,20.42,20.85,20.42,20.77,3816000,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,55.67,57.25,55.13,57.23,36460300,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,59.58,61.53,59.48,61.33,53439700,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,14.07,14.49,14.07,14.45,741000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-18,110.96,114.46,110.76,114.3,1002100,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.56,1.90205785037529,0,
2016-04-19,,,,,,,,,,,0,1.58,1.89984929733878,0,
2016-04-20,,,,,,,,,,,0,1.62,1.89763776017339,0,
2016-04-21,,,,,,,,,,,0,1.65,1.89542325332397,0,
2016-04-22,,,,,,,,,,,0,1.66,1.8932057912354,0,
2016-04-25,14.37,14.47,13.95,14.03,1226000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,113.86,114.11,109.94,110.6,821600,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,44.17,44.22,42.83,43.07,858200,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,26.29,26.37,25.47,25.63,2020000,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,29.65,29.71,28.6,28.77,382800,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,57.77,58.49,56.32,56.81,1205600,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,39.52,39.53,38.22,38.47,163600,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,57.09,57.68,53.01,53.34,34091500,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,61.1,61.28,59.19,59.55,58582100,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,93.52,94.17,86.46,87.16,32888100,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-25,20.77,21.1,20.49,20.63,2908200,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.66,1.89098538835254,0,
2016-04-26,,,,,,,,,,,0,1.7,1.88876205912027,0,
2016-04-27,,,,,,,,,,,0,1.63,1.88653581798344,0,
2016-04-28,,,,,,,,,,,0,1.62,1.88430667938694,0,
2016-04-29,,,,,,,,,,,0,1.61,1.88207465777563,0,
2016-05-02,87.4,88.23,81.98,83.04,29567100,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,20.78,20.81,20.4,20.66,3355200,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,28.84,29,28.19,28.4,755400,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,56.81,57.15,56.03,56.34,1032800,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,14.07,14.15,13.78,13.87,689000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,110.71,111.44,108.34,109.3,780200,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,43.19,43.73,42.17,42.43,484000,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,25.71,25.83,25.14,25.34,1565500,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,53.49,54.45,48.89,49.81,34947000,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,59.66,60.07,58.54,59.03,54623100,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.66,1.87983976759438,0,
2016-05-02,38.48,38.72,37.4,37.72,66300,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.66,1.87983976759438,0,
2016-05-03,,,,,,,,,,,0,1.6,1.87760202328806,0,
2016-05-04,,,,,,,,,,,0,1.6,1.87536143930153,0,
2016-05-05,,,,,,,,,,,0,1.56,1.87311803007967,0,
2016-05-06,,,,,,,,,,,0,1.6,1.87087181006734,0,
2016-05-09,37.62,38.52,37.5,37.61,31200,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,13.88,14.15,13.77,13.84,1284000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,109.41,111.57,108.59,109.22,950100,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,83.34,86.22,80.97,82.59,23699400,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,20.7,21.02,20.67,20.73,7468200,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,28.42,29.02,28.26,28.4,383700,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,56.32,57.28,55.65,55.91,1007600,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,49.86,52.19,48.45,49.89,25969000,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,59.03,60.27,58.79,59,56402300,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,42.62,43.35,42.45,42.56,4772800,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-09,25.35,25.9,25.23,25.35,2188500,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.53,1.86862279370941,0,
2016-05-10,,,,,,,,,,,0,1.53,1.86637099545076,0,
2016-05-11,,,,,,,,,,,0,1.47,1.86411642973625,0,
2016-05-12,,,,,,,,,,,0,1.48,1.86185911101075,0,
2016-05-13,,,,,,,,,,,0,1.42,1.85959905371912,0,
2016-05-16,42.56,43.11,42.15,42.82,344600,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,25.3,25.76,25.15,25.57,2436000,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,83.41,86.25,83.1,85.94,21094200,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,20.76,21.06,20.45,20.73,3999000,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,37.34,38.28,37.34,38.14,50900,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,13.85,14.07,13.79,13.99,928000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,109.25,111,108.5,110.37,719700,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,50.51,53.53,50.43,53.49,31551500,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,59.01,59.93,58.54,59.47,51464700,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,28.37,28.87,28.25,28.71,259200,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.47,1.85733627230625,0,
2016-05-16,55.89,56.86,55.49,56.41,781900,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.47,1.85733627230625,0,
2016-05-17,,,,,,,,,,,0,1.48,1.85507078121699,0,
2016-05-18,,,,,,,,,,,0,1.57,1.85280259489621,0,
2016-05-19,,,,,,,,,,,0,1.54,1.85053172778879,0,
2016-05-20,,,,,,,,,,,0,1.52,1.8482581943396,0,
2016-05-23,28.67,29.42,28.61,29.37,336100,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.49,1.84598200899349,0,
